8,Brewster,24 Trailsway Plaza,129,23760
20,Chiarra,2868 Manufacturers Point,240,59200
19,Claus,1 Dixon Center,240,59200
18,Darcie,8 Merry Lane,230,55700
13,Emera,75456 Raven Place,161,31550
17,Esdras,10311 Esch Court,220,52200
15,Happy,18704 7th Road,200,45200
16,Kerby,6 Crescent Oaks Trail,210,48700
14,Kerrie,1 Di Loreto Avenue,170,34700
9,Niven,2556 Bayside Lane,130,24000
11,Raven,6 Cordelia Avenue,160,31200
12,Stanwood,4828 Oakridge Trail,159,30960
10,Trueman,4 Iowa Circle,140,26400
7,Vivi,448 Reinke Junction,121,21840
